number_people,day_of_week,is_weekend,is_holiday,temperature,is_start_of_semester,is_during_semester,month,hour
37,4,0,0,71.76,0,0,8,17
45,4,0,0,71.76,0,0,8,17
40,4,0,0,71.76,0,0,8,17
44,4,0,0,71.76,0,0,8,17
45,4,0,0,71.76,0,0,8,17
46,4,0,0,72.15,0,0,8,18
43,4,0,0,72.15,0,0,8,18
53,4,0,0,72.15,0,0,8,18
54,4,0,0,72.15,0,0,8,18
43,4,0,0,72.15,0,0,8,18
39,4,0,0,69.97,0,0,8,19
38,4,0,0,69.97,0,0,8,19
45,4,0,0,69.97,0,0,8,19
41,4,0,0,69.97,0,0,8,19
36,4,0,0,69.97,0,0,8,19
42,4,0,0,68.8,0,0,8,20
35,4,0,0,68.8,0,0,8,20
36,4,0,0,68.8,0,0,8,20
48,4,0,0,68.8,0,0,8,20
40,4,0,0,68.8,0,0,8,20
49,4,0,0,68.04,0,0,8,21
37,4,0,0,68.04,0,0,8,21
48,4,0,0,68.04,0,0,8,21
45,4,0,0,68.04,0,0,8,21
45,4,0,0,68.04,0,0,8,21
38,4,0,0,67.55,0,0,8,22
41,4,0,0,67.55,0,0,8,22
41,4,0,0,67.55,0,0,8,22
37,4,0,0,67.55,0,0,8,22
33,4,0,0,67.55,0,0,8,22
22,4,0,0,67,0,0,8,23
2,4,0,0,67,0,0,8,23
1,4,0,0,67,0,0,8,23
0,4,0,0,67,0,0,8,23
0,4,0,0,67,0,0,8,23
0,5,1,0,66.76,0,0,8,0
1,5,1,0,66.76,0,0,8,0
0,5,1,0,66.76,0,0,8,0
0,5,1,0,66.76,0,0,8,0
0,5,1,0,66.76,0,0,8,0
0,5,1,0,66.32,0,0,8,1
0,5,1,0,65.07,0,0,8,5
1,5,1,0,65.07,0,0,8,5
0,5,1,0,65.07,0,0,8,5
1,5,1,0,65.07,0,0,8,5
1,5,1,0,65.32,0,0,8,6
0,5,1,0,65.32,0,0,8,6
0,5,1,0,65.32,0,0,8,6
0,5,1,0,65.32,0,0,8,6
0,5,1,0,65.32,0,0,8,6
0,5,1,0,66.8,0,0,8,7
0,5,1,0,66.8,0,0,8,7
0,5,1,0,66.8,0,0,8,7
3,5,1,0,66.8,0,0,8,7
2,5,1,0,66.8,0,0,8,7
6,5,1,0,67.8,0,0,8,8
15,5,1,0,67.8,0,0,8,8
22,5,1,0,67.8,0,0,8,8
18,5,1,0,67.8,0,0,8,8
21,5,1,0,67.8,0,0,8,8
26,5,1,0,69.55,0,0,8,9
23,5,1,0,69.55,0,0,8,9
23,5,1,0,69.55,0,0,8,9
28,5,1,0,69.55,0,0,8,9
23,5,1,0,69.55,0,0,8,9
22,5,1,0,70.36,0,0,8,10
30,5,1,0,70.36,0,0,8,10
32,5,1,0,70.36,0,0,8,10
36,5,1,0,70.36,0,0,8,10
29,5,1,0,70.36,0,0,8,10
34,5,1,0,72.84,0,0,8,11
36,5,1,0,72.84,0,0,8,11
32,5,1,0,72.84,0,0,8,11
27,5,1,0,72.84,0,0,8,11
26,5,1,0,72.84,0,0,8,11
36,5,1,0,76.95,0,0,8,12
37,5,1,0,76.95,0,0,8,12
38,5,1,0,76.95,0,0,8,12
30,5,1,0,76.95,0,0,8,12
34,5,1,0,76.95,0,0,8,12
26,5,1,0,80.16,0,0,8,13
33,5,1,0,80.16,0,0,8,13
31,5,1,0,80.16,0,0,8,13
26,5,1,0,80.16,0,0,8,13
26,5,1,0,80.16,0,0,8,13
26,5,1,0,79.98,0,0,8,14
23,5,1,0,79.98,0,0,8,14
29,5,1,0,79.98,0,0,8,14
27,5,1,0,79.98,0,0,8,14
29,5,1,0,79.98,0,0,8,14
25,5,1,0,78.79,0,0,8,15
29,5,1,0,78.79,0,0,8,15
35,5,1,0,78.79,0,0,8,15
32,5,1,0,78.79,0,0,8,15
36,5,1,0,78.79,0,0,8,15
31,5,1,0,78.51,0,0,8,16
24,5,1,0,78.51,0,0,8,16
26,5,1,0,78.51,0,0,8,16
28,5,1,0,78.51,0,0,8,16
33,5,1,0,78.51,0,0,8,16
26,5,1,0,77.32,0,0,8,17
31,5,1,0,77.32,0,0,8,17
39,5,1,0,77.32,0,0,8,17
43,5,1,0,77.32,0,0,8,17
40,5,1,0,77.32,0,0,8,17
36,5,1,0,75.62,0,0,8,18
43,5,1,0,75.62,0,0,8,18
38,5,1,0,75.62,0,0,8,18
32,5,1,0,75.62,0,0,8,18
29,5,1,0,75.62,0,0,8,18
31,5,1,0,73.61,0,0,8,19
27,5,1,0,73.61,0,0,8,19
23,5,1,0,73.61,0,0,8,19
29,5,1,0,73.61,0,0,8,19
28,5,1,0,73.61,0,0,8,19
29,5,1,0,71.49,0,0,8,20
29,5,1,0,71.49,0,0,8,20
31,5,1,0,71.49,0,0,8,20
28,5,1,0,71.49,0,0,8,20
33,5,1,0,71.49,0,0,8,20
26,5,1,0,69.48,0,0,8,21
25,5,1,0,69.48,0,0,8,21
29,5,1,0,69.48,0,0,8,21
22,5,1,0,69.48,0,0,8,21
24,5,1,0,69.48,0,0,8,21
26,5,1,0,67.75,0,0,8,22
22,5,1,0,67.75,0,0,8,22
25,5,1,0,67.75,0,0,8,22
26,5,1,0,67.75,0,0,8,22
12,5,1,0,67.75,0,0,8,22
17,5,1,0,66.53,0,0,8,23
4,5,1,0,66.53,0,0,8,23
2,5,1,0,66.53,0,0,8,23
0,5,1,0,66.53,0,0,8,23
0,5,1,0,66.53,0,0,8,23
0,6,1,0,65.77,0,0,8,0
0,6,1,0,65.77,0,0,8,0
0,6,1,0,65.77,0,0,8,0
0,6,1,0,65.77,0,0,8,0
0,6,1,0,65.77,0,0,8,0
0,6,1,0,65.69,0,0,8,1
0,6,1,0,64.72,0,0,8,5
0,6,1,0,64.72,0,0,8,5
0,6,1,0,64.72,0,0,8,5
0,6,1,0,64.72,0,0,8,5
0,6,1,0,65.2,0,0,8,6
0,6,1,0,65.2,0,0,8,6
0,6,1,0,65.2,0,0,8,6
0,6,1,0,65.2,0,0,8,6
0,6,1,0,65.2,0,0,8,6
1,6,1,0,66.91,0,0,8,7
0,6,1,0,66.91,0,0,8,7
0,6,1,0,66.91,0,0,8,7
2,6,1,0,66.91,0,0,8,7
2,6,1,0,66.91,0,0,8,7
3,6,1,0,69.39,0,0,8,8
12,6,1,0,69.39,0,0,8,8
18,6,1,0,69.39,0,0,8,8
11,6,1,0,69.39,0,0,8,8
16,6,1,0,69.39,0,0,8,8
15,6,1,0,72.14,0,0,8,9
18,6,1,0,72.14,0,0,8,9
17,6,1,0,72.14,0,0,8,9
12,6,1,0,72.14,0,0,8,9
22,6,1,0,72.14,0,0,8,9
23,6,1,0,74.51,0,0,8,10
27,6,1,0,74.51,0,0,8,10
25,6,1,0,74.51,0,0,8,10
20,6,1,0,74.51,0,0,8,10
25,6,1,0,74.51,0,0,8,10
19,6,1,0,77.42,0,0,8,11
18,6,1,0,77.42,0,0,8,11
25,6,1,0,77.42,0,0,8,11
29,6,1,0,77.42,0,0,8,11
24,6,1,0,77.42,0,0,8,11
29,6,1,0,78.94,0,0,8,12
22,6,1,0,78.94,0,0,8,12
20,6,1,0,78.94,0,0,8,12
34,6,1,0,78.94,0,0,8,12
19,6,1,0,78.94,0,0,8,12
16,6,1,0,79.2,0,0,8,13
27,6,1,0,79.2,0,0,8,13
28,6,1,0,79.2,0,0,8,13
24,6,1,0,79.2,0,0,8,13
26,6,1,0,79.2,0,0,8,13
16,6,1,0,81.17,0,0,8,14
20,6,1,0,81.17,0,0,8,14
21,6,1,0,81.17,0,0,8,14
20,6,1,0,81.17,0,0,8,14
22,6,1,0,81.17,0,0,8,14
19,6,1,0,80.61,0,0,8,15
27,6,1,0,80.61,0,0,8,15
31,6,1,0,80.61,0,0,8,15
32,6,1,0,80.61,0,0,8,15
27,6,1,0,80.61,0,0,8,15
27,6,1,0,79.85,0,0,8,16
24,6,1,0,79.85,0,0,8,16
29,6,1,0,79.85,0,0,8,16
25,6,1,0,79.85,0,0,8,16
30,6,1,0,79.85,0,0,8,16
31,6,1,0,78.79,0,0,8,17
40,6,1,0,78.79,0,0,8,17
30,6,1,0,78.79,0,0,8,17
35,6,1,0,78.79,0,0,8,17
34,6,1,0,78.79,0,0,8,17
31,6,1,0,76.75,0,0,8,18
34,6,1,0,76.75,0,0,8,18
36,6,1,0,76.75,0,0,8,18
27,6,1,0,76.75,0,0,8,18
33,6,1,0,76.75,0,0,8,18
38,6,1,0,74.36,0,0,8,19
41,6,1,0,74.36,0,0,8,19
39,6,1,0,74.36,0,0,8,19
39,6,1,0,74.36,0,0,8,19
41,6,1,0,74.36,0,0,8,19
28,6,1,0,71.6,0,0,8,20
38,6,1,0,71.6,0,0,8,20
38,6,1,0,71.6,0,0,8,20
39,6,1,0,71.6,0,0,8,20
25,6,1,0,71.6,0,0,8,20
32,6,1,0,70.65,0,0,8,21
32,6,1,0,70.65,0,0,8,21
26,6,1,0,70.65,0,0,8,21
31,6,1,0,70.65,0,0,8,21
26,6,1,0,70.65,0,0,8,21
38,6,1,0,68.85,0,0,8,22
34,6,1,0,68.85,0,0,8,22
35,6,1,0,68.85,0,0,8,22
24,6,1,0,68.85,0,0,8,22
31,6,1,0,68.85,0,0,8,22
22,6,1,0,67.93,0,0,8,23
21,6,1,0,67.93,0,0,8,23
17,6,1,0,67.93,0,0,8,23
19,6,1,0,67.93,0,0,8,23
22,6,1,0,67.93,0,0,8,23
17,0,0,0,65.76,0,0,8,0
17,0,0,0,65.76,0,0,8,0
14,0,0,0,65.76,0,0,8,0
9,0,0,0,65.76,0,0,8,0
11,0,0,0,65.76,0,0,8,0
6,0,0,0,64.97,0,0,8,1
3,0,0,0,63.73,0,0,8,5
1,0,0,0,63.73,0,0,8,5
4,0,0,0,63.73,0,0,8,5
0,0,0,0,63.73,0,0,8,5
9,0,0,0,63.42,0,0,8,6
9,0,0,0,63.42,0,0,8,6
16,0,0,0,63.42,0,0,8,6
18,0,0,0,63.42,0,0,8,6
13,0,0,0,63.42,0,0,8,6
23,0,0,0,64.69,0,0,8,7
26,0,0,0,64.69,0,0,8,7
23,0,0,0,64.69,0,0,8,7
17,0,0,0,64.69,0,0,8,7
27,0,0,0,64.69,0,0,8,7
23,0,0,0,65.53,0,0,8,8
38,0,0,0,65.53,0,0,8,8
24,0,0,0,65.53,0,0,8,8
23,0,0,0,65.53,0,0,8,8
32,0,0,0,65.53,0,0,8,8
31,0,0,0,66.71,0,0,8,9
31,0,0,0,66.71,0,0,8,9
32,0,0,0,66.71,0,0,8,9
34,0,0,0,66.71,0,0,8,9
39,0,0,0,66.71,0,0,8,9
39,0,0,0,67.83,0,0,8,10
33,0,0,0,67.83,0,0,8,10
33,0,0,0,67.83,0,0,8,10
37,0,0,0,67.83,0,0,8,10
29,0,0,0,67.83,0,0,8,10
32,0,0,0,67.81,0,0,8,11
35,0,0,0,67.81,0,0,8,11
26,0,0,0,67.81,0,0,8,11
34,0,0,0,67.81,0,0,8,11
29,0,0,0,67.81,0,0,8,11
28,0,0,0,68.76,0,0,8,12
32,0,0,0,68.76,0,0,8,12
27,0,0,0,68.76,0,0,8,12
26,0,0,0,68.76,0,0,8,12
27,0,0,0,68.76,0,0,8,12
31,0,0,0,70.75,0,0,8,13
33,0,0,0,70.75,0,0,8,13
31,0,0,0,70.75,0,0,8,13
30,0,0,0,70.75,0,0,8,13
28,0,0,0,70.75,0,0,8,13
27,0,0,0,70.18,0,0,8,14
30,0,0,0,70.18,0,0,8,14
18,0,0,0,70.18,0,0,8,14
27,0,0,0,70.18,0,0,8,14
37,0,0,0,70.18,0,0,8,14
33,0,0,0,69.65,0,0,8,15
33,0,0,0,69.65,0,0,8,15
44,0,0,0,69.65,0,0,8,15
43,0,0,0,69.65,0,0,8,15
48,0,0,0,69.65,0,0,8,15
45,0,0,0,67.99,0,0,8,16
50,0,0,0,67.99,0,0,8,16
42,0,0,0,67.99,0,0,8,16
45,0,0,0,67.99,0,0,8,16
47,0,0,0,67.99,0,0,8,16
47,0,0,0,67.04,0,0,8,17
55,0,0,0,67.04,0,0,8,17
68,0,0,0,67.04,0,0,8,17
50,0,0,0,67.04,0,0,8,17
58,0,0,0,67.04,0,0,8,17
65,0,0,0,64.26,0,0,8,18
63,0,0,0,64.26,0,0,8,18
63,0,0,0,64.26,0,0,8,18
74,0,0,0,64.26,0,0,8,18
69,0,0,0,64.26,0,0,8,18
69,0,0,0,63.04,0,0,8,19
60,0,0,0,63.04,0,0,8,19
68,0,0,0,63.04,0,0,8,19
73,0,0,0,63.04,0,0,8,19
50,0,0,0,63.04,0,0,8,19
53,0,0,0,62,0,0,8,20
50,0,0,0,62,0,0,8,20
45,0,0,0,62,0,0,8,20
52,0,0,0,62,0,0,8,20
66,0,0,0,62,0,0,8,20
64,0,0,0,62,0,0,8,21
60,0,0,0,62,0,0,8,21
44,0,0,0,62,0,0,8,21
50,0,0,0,62,0,0,8,21
46,0,0,0,62,0,0,8,21
39,0,0,0,62,0,0,8,22
42,0,0,0,62,0,0,8,22
49,0,0,0,62,0,0,8,22
34,0,0,0,62,0,0,8,22
32,0,0,0,62,0,0,8,22
35,0,0,0,62,0,0,8,23
27,0,0,0,62,0,0,8,23
21,0,0,0,62,0,0,8,23
28,0,0,0,62,0,0,8,23
23,0,0,0,62,0,0,8,23
20,1,0,0,62,0,0,8,0
19,1,0,0,62,0,0,8,0
15,1,0,0,62,0,0,8,0
15,1,0,0,62,0,0,8,0
18,1,0,0,62,0,0,8,0
12,1,0,0,61.8,0,0,8,1
0,1,0,0,61.73,0,0,8,5
0,1,0,0,61.73,0,0,8,5
0,1,0,0,61.73,0,0,8,5
0,1,0,0,61.73,0,0,8,5
2,1,0,0,61.73,0,0,8,6
7,1,0,0,61.73,0,0,8,6
10,1,0,0,61.73,0,0,8,6
11,1,0,0,61.73,0,0,8,6
6,1,0,0,61.73,0,0,8,6
17,1,0,0,61.73,0,0,8,7
14,1,0,0,61.73,0,0,8,7
20,1,0,0,61.73,0,0,8,7
19,1,0,0,61.73,0,0,8,7
22,1,0,0,61.73,0,0,8,7
27,1,0,0,62.01,0,0,8,8
32,1,0,0,62.01,0,0,8,8
36,1,0,0,62.01,0,0,8,8
35,1,0,0,62.01,0,0,8,8
39,1,0,0,62.01,0,0,8,8
35,1,0,0,63.47,0,0,8,9
34,1,0,0,63.47,0,0,8,9
34,1,0,0,63.47,0,0,8,9
28,1,0,0,63.47,0,0,8,9
19,1,0,0,63.47,0,0,8,9
32,1,0,0,64.96,0,0,8,10
48,1,0,0,64.96,0,0,8,10
47,1,0,0,64.96,0,0,8,10
37,1,0,0,64.96,0,0,8,10
32,1,0,0,64.96,0,0,8,10
30,1,0,0,66.18,0,0,8,11
35,1,0,0,66.18,0,0,8,11
26,1,0,0,66.18,0,0,8,11
26,1,0,0,66.18,0,0,8,11
22,1,0,0,66.18,0,0,8,11
29,1,0,0,66.18,0,0,8,12
31,1,0,0,66.18,0,0,8,12
28,1,0,0,66.18,0,0,8,12
24,1,0,0,66.18,0,0,8,12
30,1,0,0,66.18,0,0,8,12
34,1,0,0,67.41,0,0,8,13
36,1,0,0,67.41,0,0,8,13
29,1,0,0,67.41,0,0,8,13
31,1,0,0,67.41,0,0,8,13
24,1,0,0,67.41,0,0,8,13
27,1,0,0,67.69,0,0,8,14
36,1,0,0,67.69,0,0,8,14
36,1,0,0,67.69,0,0,8,14
44,1,0,0,67.69,0,0,8,14
32,1,0,0,67.69,0,0,8,14
28,1,0,0,67.21,0,0,8,15
36,1,0,0,67.21,0,0,8,15
43,1,0,0,67.21,0,0,8,15
32,1,0,0,67.21,0,0,8,15
37,1,0,0,67.21,0,0,8,15
34,1,0,0,66.68,0,0,8,16
33,1,0,0,66.68,0,0,8,16
41,1,0,0,66.68,0,0,8,16
41,1,0,0,66.68,0,0,8,16
35,1,0,0,66.68,0,0,8,16
43,1,0,0,66.68,0,0,8,16
45,1,0,0,65.96,0,0,8,17
53,1,0,0,65.96,0,0,8,17
61,1,0,0,65.96,0,0,8,17
63,1,0,0,65.96,0,0,8,17
51,1,0,0,65.96,0,0,8,17
62,1,0,0,65.22,0,0,8,18
62,1,0,0,65.22,0,0,8,18
56,1,0,0,65.22,0,0,8,18
71,1,0,0,65.22,0,0,8,18
72,1,0,0,65.22,0,0,8,18
54,1,0,0,64,0,0,8,19
63,1,0,0,64,0,0,8,19
67,1,0,0,64,0,0,8,19
65,1,0,0,64,0,0,8,19
53,1,0,0,64,0,0,8,19
62,1,0,0,63.73,0,0,8,20
60,1,0,0,63.73,0,0,8,20
